This will , if not already , caused problems as there are very limited spaces for us .|||7~8~Vform~cause	14~15~Nn~space
These people have to look for other alternative to earn a living .|||7~8~Nn~alternatives
Hence , results should not be revealed to protect employees from environment that might harm them .|||11~12~Nn~environments
Another difficulty involves disclosure of genetic information to insurance companies .|||3~3~ArtOrDet~the
Genetics plays the role in every disease .|||2~3~ArtOrDet~a
Genetic testing informs individuals and family of their genetic status ; this knowledge may enable them to take adaptive measures against a genetic disease ( Jacobs , & Deatrick , 1999 ) , if disease is treatable .|||5~6~Nn~families	34~34~ArtOrDet~the
However , as technology advances , exploitation of genetic testing increases resulting in the breach of human rights to privacy .|||18~19~Prep~of
Sharing of personal genetic result is akin to being exposed .|||0~1~ArtOrDet~The sharing
Secondly , being able to access one 's genetic information will reveal the list of diseases one is susceptible to , and the one who possesses the information may have ulterior interest .|||30~30~ArtOrDet~an
Thus , it is still up to the discretion of individual to go for genetic testing if they are at high risk .|||10~11~Nn~individuals
Therefore , individuals whom requested for genetic testing should have the final say in whether to reveal the results of such testing .|||3~4~Vt~who have
Research has shown that individuals tend to keep risk information to themselves ( Forrest , 2000 ) , but disease could be due to hereditary genes , individual 's family , offspring , and offspring of the family members might also inherit the disease .|||19~19~ArtOrDet~the
It will also benefit the individual as government will be able to come up with anti-discrimination acts to protect their rights , educate the public so as to minimize genetic discrimination , and build infrastructures and prepare the medical team to provide them with proper care .|||7~8~Nn~governments	37~38~ArtOrDet~	39~40~Nn~teams
People need to collect intelligence about the situation before it can act against it ; this has led to the increasing employment of surveillance technology .|||6~7~ArtOrDet~a
This is very useful towards families with young juveniles and aging parents because their location could be tracked easily if they are lost in the crowd and thus preventing them from any possible harm they may encounter .|||4~5~Prep~for
( Jacobs & Deatrick 1999 ) However , negative implications such as violation of privacy , long- termed psychological and sociological effects inflicted on the individual outweigh the benefits therefore individual should have the final say in whether to reveal their genetic results or not .|||30~31~Nn~individuals
( Bereano , 2000 ) For instance , insurance companies would reduce healthcare coverage , increase health premiums or terminate the health insurance policies in individuals with potential genetic risk .|||24~25~Prep~for
Since every individual have a different level of acceptance , disclosure of genetic results could cause them to experience unnecessary emotional distress .|||3~4~Vt~has
Since the advantages of surveillance technology far outweigh the disadvantages , it should not be banned .|||7~8~Vt~outweighs
As the genetic testing is making rapid progress on providing information on the hidden DNAs which might cause diseases , the techniques have also aroused a large amount of heated debates on the ethical and moral issues surrounding the control of final say of the testing .|||1~2~ArtOrDet~
First of all , individual has the right to determine whether or not it is necessary to make the genetic testing results public .|||4~4~ArtOrDet~the
Although it can not be denied that the other family members to some extent also have the right to know whether they share the same suspected genes as the tested , they can choose to test their genes by themselves , rather depending on other people 's testing result .|||48~49~Nn~results
If one 's privacy can not be protected so that the result might be made use of on any purpose , the human rights are endangered and hence this decision should be made on the individual requesting the genetic testing .|||33~34~Prep~by
For instance , the insurance companies can require the testing result before signing for a contact with a client who may have potential carriers of diseases .|||3~4~ArtOrDet~	21~22~Vt~be
Over the years , advances in science and technology had empowered surveillance technology by introducing many forms and magnifying the scope of surveillance .|||9~10~Vt~has
Privacy is the fundamental human right and we have the right to lead our life without public surveillance .|||2~3~ArtOrDet~a fundamental	14~15~Nn~lives
In Britain , there are 4.2 million CCTV cameras on the streets , about one for every 14 citizens ( BBC news , 2006 ) .|||18~19~Nn~citizen
Mass surveillance has infringed our right to lead a personal life as our every actions and behaviours are being watched and tracked .|||5~6~Nn~rights	13~14~ArtOrDet~
This result is alarming as it suggests of the possibility of a similar effect in humans ( Foster & Jaeger , 2008 ) .|||7~8~Prep~
This monitoring of other people 's behaviour , activities , or information has brought about many debates on ethical issue , security issues as well as individual 's health issue .|||29~30~Nn~issues
This is because surveillance technology such as closed-circuit television ( CCTV ) allows other to watch and track our daily activities .|||13~14~Nn~others
We have lost our rights in leading a personal life and have to live in a constant fear that our every movement is being monitored .|||15~16~ArtOrDet~
Therefore , surveillance technology should be banned as it may do more harms than benefits .|||12~13~Nn~harm
Individual should not have the final say in revealing his genetic testing result .|||0~1~ArtOrDet~An individual
In conclusion , individuals should not have the final say in revealing their genetic test results for the benefits of the people around them .|||18~19~Nn~benefit
While some suggest that the use of this technology brings benefits to both country and the world , it in fact not only affects the country 's safety but also the citizens ' privacy in the country .|||13~13~ArtOrDet~the
Thus , due to negative implications that outweigh the benefits of using surveillance technology , it should be banned .|||4~4~ArtOrDet~the
This resulted in the loss of personal space and constantly live in fear as they tend to be very cautious in their every movements .|||1~2~Vt~results
US citizens involves in the process have to be very careful with their daily lifestyle .|||2~3~Vt~involved	14~15~Nn~lifestyles
Too much intruding of privacy could also lead to the psychological factors of one 's mental status .|||9~10~ArtOrDet~
Secondly , it lowers the level of security of a country when terrorists are able to hacked into their system and take control of the country 's well-being .|||16~17~Vt~hack
Radio Frequency Identification , RFID ) into a dementia people , it ease the hospital authority to locate their patients ' whereabouts .|||9~10~Nn~person
However , there is often a health issue that involves in this implantation which causes complications to patients ' health. .|||9~10~Vt~is involved
Thus , this affect patient by adding a new disease to them when they are already ill .|||4~5~Nn~patients
Surveillance dated back all the way from ancient times .|||6~7~Prep~to
As the world advances so has technology , surveillance nowadays cover a wide spectrum of life from the wellbeing of a child left alone in the room to national security to prevent events such as terrorism and political instability .|||5~6~Vform~does
Some of the devices that have been set up and used are for example biometric passport .|||15~16~Nn~passports
This helps in preventing terrorism as appropriate measures can be taken to stop terrorist from entering the country .|||13~14~Nn~terrorists
In 2001 , the capture of terrorist members prevented a bomb explosion to Yishun train station in Singapore .|||12~13~Prep~at
This however do not mean that the system of surveillance should be banned but rather this is where flaws of the systems are examined to come up with a more fool-proof system where such terrorist can not make use of the loop holes of the system to escape .|||34~34~ArtOrDet~a
Pandemics and epidemics have been prevalent since the ancient time like in the 18th century where small pox causing massive death .|||7~8~ArtOrDet~	9~10~Nn~times	18~19~Vt~caused	20~21~Nn~deaths
In 2003 when SARS spread causing thousands of death all across the world , the temperature radiation surveillance technology was invented to help identity those possible infected people from those who are not , and to separate those who are likely to be infected from the healthy population .|||8~9~Nn~deaths	31~32~Vt~were
Other than that home tracking devices are implemented especially for those who are quarantined for the 10 days duration to ensure that they do not break the rules and venture out of their homes into the community .|||12~13~Vt~were	23~24~Vt~did
Due to family members having similarities in genetic background , individuals may feel the need to disclose their results .|||4~5~Vt~have	6~7~Prep~
Advocators suggest that using RFID to conduct social control and suspects tracking could benefit whole society .|||14~14~ArtOrDet~the
On the contrary , it not only leads to invasion of privacy and identity theft but also risks health .|||9~9~ArtOrDet~an
Using the cloned card , anyone could pass into a restricted area through the secure and locked entrance ( Jones 2008 ) .|||0~1~Vform~by using
Hence , using RFID equipped card to track and control entrance is not secure and effective at all .|||3~3~ArtOrDet~a
If an individual is denied of his right to decide on the disclosure of his test result , probably no one will dare to go for testing since they know that they do not possess the right to decide whether the result stays secret .|||23~24~Vt~
Recently , Radio Frequency Identification technology , also known as " RFID " is a hot topic for discussion .|||13~14~Vform~has been
In the past , it is used to track equipments and data and this does not create much controversy in the issue of privacy .|||5~6~Vt~was	9~10~Nn~equipmentequipment	14~15~Vt~did
However , as technology improves , RFID is more frequently used to track people .|||4~6~Vt~improved
The rapid advances in medical technology present genetic testing that uses to identify specific genes responsible for a significant disease in an individual ( Centre for Genetic Education , n.d. ) .|||10~11~Vform~is used ,
The perception of whether an individual should have the final say to reveal the results of genetic tests has lead to ethical dilemma in the society and individuals , especially in family-relationship .|||21~21~ArtOrDet~an	24~25~ArtOrDet~
There are two main benefits of not having the absolute authority on revealing the results of genetic tests .|||11~12~Prep~to
Today , enterprises found the use of RFID chips in wide variety of places including hospital , transportation system , corporations , schools , and worryingly , human beings ( Andrea Jean , 2007 ) .|||10~10~ArtOrDet~a
Human implant is experimented and studied deeply over many countries .|||7~8~Prep~in
Volunteer participated in controlled experiment on skimming has proven that a hacker is able to skim and clone an access card in a split second and using the card to get entrance to a " secure and locked " entrance ( Jones , 2008 ) .|||3~3~ArtOrDet~a
This absurd result puts a question on the security use on human implant .|||6~7~Prep~
The completion of Human Genome Project has contributed significantly to the rapid development of genetic tests valuable tools that aid in diagnosis and prevention of genetic diseases .|||16~16~ArtOrDet~a
Due to the need to maintain results confidentiality , doctors will be compelled to watch patients with the defective gene fall ill when appropriate intervention can be done to avert the harm .|||30~31~ArtOrDet~
This is has gone against their 'proper medical and ethical practices ' ( Minkoff & Ecker , 2008 ) of preventing harm or avoiding serious jeopardisation of the health of others ( www.genetics.edu.au ) .|||1~2~Vt~
In considerations of these competing obligations met by physicians , the genetic care and counselling organisations have devised guidelines which accept disclosure to relatives without the consent of those tested when there is going to be a high degree and immediacy of risk faced by them ( Minkoff & Ecker , 2008 ) .|||2~3~Prep~
Customers could also be tracked with the products anywhere so long as there is a right reader that could read the frequency ( Free 2007 ) Consumer privacy will no longer be existent as consumers loses freedom in choice and also consistently losing personal information to marketers .|||37~38~Prep~of
The possibility that the RFID technology would prove to be more of a hindrance than convenience is evident .|||15~15~ArtOrDet~a
While some argue that the adoption of RFID is a violation of human 's privacy , it is indeed helps to protect the safety of family and public and identify patients .|||25~26~Nn~families	27~27~ArtOrDet~the	29~29~Vform~to
Firstly , RFID protects the safety of loved ones by tracking the movements of kin in case when they went lost or been kidnapped .|||16~17~Nn~cases	22~23~Vt~were
With the help of RFID tag that worn on senile elderly , the tag enables the police to identify the missing elderly and then contact their family members .|||4~4~ArtOrDet~A	8~9~Prep~by	17~18~Vform~can
In addition , RFID tag helps to ease in assistance of police to locate the hostage and kidnappers .|||4~5~Nn~tags	5~6~Vform~help	10~11~ArtOrDet~the
Secondly , RFID ensures the safety of the public by monitoring suspicious people who might pose a danger to the society as to prevent them from causing harm to the public .|||19~20~ArtOrDet~
RFID is useful in combating crimes .|||5~6~Nn~crime
Thirdly , RDIF improves the speed of patient identification in hospital .|||10~11~Nn~hospitals
Upon admission to hospital , each patient is given a RFID wristband which reveals patient name , patient identification number and patient medication record ( Antonio , n.d. ) .|||14~14~ArtOrDet~the
Nevertheless , the current legislations are sufficient to deal with the development of RFID as to prevent the user 's privacy from invaded .|||4~5~Nn~legislation	17~20~Nn~user	22~22~Vt~being
Furthermore , the RFID tag does not bring health problems to the users .|||11~12~ArtOrDet~
An example is European council proposed on the limitation of the exposure of electromagnetic field to the public ( Council , 1999 ) .|||14~15~Nn~fields
RFID serves as a tracking device and an identification system in safeguarding the safety of loved ones and public and identifying patients .|||18~18~ArtOrDet~the	20~20~Prep~for
Human genetics has made tremendous leaps over the past years , and consequently made significant impact on many people 's lives .|||14~14~ArtOrDet~a
In any cases , I advocate and concur that the individual should have the final say in whether to reveal the results of genetic testing or not .|||2~3~Nn~case
In accordance with United States federal law , it states that such medical information should be kept confidential and genetic professionals or doctors do not have the right to disclose any information without seeking the consent of the patient .|||3~3~ArtOrDet~the
Though , they may assist the patients by informing them the likelihood of their relatives contracting the same diseases , the final decision ultimately still depends on the individual .|||5~6~ArtOrDet~	10~10~Prep~of
On the other hand , critics may argue that genetic professionals can interpret the genetic testing results more accurately than the patients .|||20~21~ArtOrDet~
Thus , they can explain the implications of the results more precisely to the family members .|||13~14~ArtOrDet~
However , only the patients will understand the family members ' different behavioural patterns .|||3~4~ArtOrDet~
In conclusion , the decision of whether to reveal the results of genetic testing should lie only on the individual and not other third parties involved .|||7~9~Vform~revealing	17~18~Prep~with
Genetic testing is becoming more ubiquitous in recent years .|||2~4~Vt~has become
I advocate the idea that the patients should have the final say to decide whether to disclose the test results to relative and families .|||5~6~ArtOrDet~	21~22~Nn~relatives
First , the law and human rights declaration recognizes the rights to privacy of the individuals .|||10~11~Nn~right	14~15~ArtOrDet~
et al. , 2009 ) Unless there is mutual agreement on both sides , the final say should lie in the patients .|||19~20~Prep~with
Second , the final say should lie in the patient as he knows what is best for their family members .|||7~8~Prep~with
The patients know the different behavioral patterns of his family members and will know the best way to approach them regarding his genetic condition .|||2~3~Vform~knows
In this way , the family members of the patient are protected from any emotional harm like stress and anxiety .|||13~14~ArtOrDet~
In conclusion , the final say to the disclosure of genetic test results should lie in the patient according to the legal jurisdiction and to the fact that the patients understand the different personalities of their families and will have their best interests in mind .|||6~7~Prep~in	15~16~Prep~with
The advancement in Science and Technology has lead to many possibilities , one of which is the ability to predict one 's risk of contracting certain diseases , mostly hereditary , via the study of one 's genes .|||2~3~Prep~of
Hence this predictive power leads to one of the many controversies- should the individual have the final say in whether to reveal his/her results ?|||12~13~ArtOrDet~an
In fact , this authority should go to the medical professionals ; basically the physician undertaking the proceedings of the test and has the part in interacting with the patients firsthand .|||8~9~ArtOrDet~	13~14~ArtOrDet~	14~15~Nn~physicians
Firstly , the physician is a profession that is bounded with standard protocols and most importantly the physician possesses medical ethics .|||2~3~ArtOrDet~a	10~11~Prep~by	16~17~ArtOrDet~	17~18~Nn~physicians
The American Society of Human Genetics even propose conditions whereby patient autonomy should be disregarded ( Bioethics Advisory Committee,2005 ) , emphasizing importance of disclosure of results .|||22~22~ArtOrDet~the
Secondly , there are laws such as Genetic Information Non-discrimination Act ( GINA ) or the Health Insurance Portability and Accountability Act ( { HIPAA } [ HYPERLINK : http : //www.hhs.gov/ocr/hipaa/ ] ) ( Norrgand , 2008 ) which protect the confidentiality and interests of the patient .|||7~7~ArtOrDet~the
These are laws that the physician adheres to , which the patient may be un-familiarised with and overlook , despite pre- test counselling .|||4~5~ArtOrDet~	5~6~Nn~physicians
Thirdly , the society benefits when sound decisions are made by pragmatic , rather than individualistic , individuals .|||2~3~ArtOrDet~
The opposition may state that leaving the decision to third party who may be insensitive and hence jeopardize the patient 's chances in employment and insurance .|||9~9~ArtOrDet~a
Moreover , the physician still respects patient autonomy unless certain conditions permit otherwise .|||2~4~Nn~physicians
It is also suggested that the harsh truth of inheriting a genetic risk may create an emotional impact , especially when disclosed despite the patient reluctance .|||1~3~Vt~has also been
Moreover , the mental preparedness of the patient is most likely moulded on the pre-test counselling before genetics testing is carry out .|||17~18~Nn~genetic	20~22~Vt~carried
( Lee , 2005 ) In conclusion , the physician should have the final say in whether to reveal the genetics testing results as they have the know-how on managing the entire situation before and after the patient is subjected to the test .|||8~10~Nn~physicians	20~21~Nn~genetic
Genetic testing is an issue that mankind has place great emphasis on .|||8~9~Vt~placed
Despite the fact that human rights exist , the physicians actually have a clearer understanding of the results and , the ethical and social issues that surfaces by withholding such information .|||8~9~ArtOrDet~
There are instances when a patient tested positive for a disease , but refuses to know their results ( BAC , 2005 ) .|||13~14~Vt~refused
In such a situation , the authority to release the result should lie with the healthcare professionals .|||10~11~Nn~resultst
As a result , the employers and insurance companies should have the rights to request genetic information from their employees or clients directly , or indirectly from medical professionals who has a better interpretation of the genetic test results .|||4~5~ArtOrDet~	12~13~Nn~right
Nevertheless , these concerns are outweighed by its pros due to the benefits it brings in ensuring safety of loved ones , public as well as identifying patients .|||17~19~ArtOrDet~the	22~22~ArtOrDet~the
In case of kidnapping , those who had RFID implanted can be easily located by RFID readers .|||1~1~ArtOrDet~the
Medical advances in technology have made it possible to detect if one has genetic disease through genetic testing .|||13~13~ArtOrDet~a
Genetic testing can be defined as the analyzing of one 's DNA to detect a possible risks in contracting genetic disease .|||14~15~ArtOrDet~the	17~18~Prep~of	19~19~ArtOrDet~a
This brought about many debate on the ethical and law issues on whether the individual have the final say in revealing the genetic testing results .|||1~1~Vt~has	3~4~Nn~a lot of
Due to privacy and effects of emotional stress , the individual should have the final say .|||4~4~ArtOrDet~the
Therefore , revealing of result could be redundant if relatives do not have non-genetic risks , but instead create undesirable emotional stress for the relative .|||3~4~Prep~	4~5~Nn~results
So , the individual could first observe for any signs of symptoms of the genetic disease the relative may have , such as deformity or behavior problems , before deciding whether or not to tell .|||7~8~Prep~
In this case , third parties such as doctors should not reveal , as doctors are usually more concerned of alerting the person of the possible chances of contracting the genetic disease , rather than the possible negative impacts this news may bring to the person .|||19~20~Prep~with
In conclusion , due to the law issues and the possible undesirable emotional stress by relatives , the individual should have the final say in revealing the results , as it is their personal information , and that they understand the relatives emotionally better .|||9~10~ArtOrDet~	18~19~Nn~individuals
Tracking of individual 's movement using RFID technology is make possible when it is used in a combination with Global Positioning System technology , as proposed by RFID vendors .|||2~2~ArtOrDet~an	9~10~Vt~made
The RFID tag could be tag in an article of clothing or under the skin in some parts of the body and it could also serve as an identifier for the person wearing it .|||17~18~Nn~part
There are many advantages of using RFID technology to track people 's movement .|||4~5~Prep~to
Firstly , companies/family members could leverage on this RFID technology to locate their loved ones/employees if they were missing or working in dangerous environment .|||6~7~Prep~	7~8~ArtOrDet~	22~22~ArtOrDet~a
( Jerry , David , Manuel & Thompson , 2007 p.469 ) Secondly , in hospital , a positive patient identification system uses radio frequency identification , RFID , to identify patients can led to fewer patient misidentification .|||22~23~Vt~using	37~38~Nn~misidentifications
Patient misidentification has been the leading causes of medical errors and medical malpractice , posing a serious risk to patient safety .|||6~7~Nn~cause
( Antonio , Putten & Gerald , n.d ) Thirdly , monitoring of RFID tagged convicts in prison can prevent possible prison break .|||22~23~Nn~breaks
However in some cases like working in a dangerous environment , safely is prioritized over privacy violation .|||2~3~ArtOrDet~
However , the tags can be encrypted and cleared of information before discarding .|||12~13~Vt~being discarded
But guidelines in recommended limits of EMF exposure have been adopted internationally to prevent any known negative health effects .|||2~3~Prep~of
In conclusion , tracking of people 's movement using RFID technology should not be banned as its benefits heavily outweigh the downsides it might bring .|||4~5~Prep~
Advancements in technology have allowed the inventions of new devices that have helped improve lifestyles and bring about much convenience in our lives .|||6~7~Nn~invention	20~21~Prep~into
RFID is an essential tool used for tracking of people .|||8~9~Prep~
In hospitals , RFIDs serve as a means for tracking of patients as well as indentifying them .|||10~11~Prep~
Hence safety of the society in ensured .|||3~4~ArtOrDet~
The main issues are that concerning privacy and health .|||3~6~Vt~concern
The use of such tracking device would mean that the locations and actions of the person will always be known .|||4~4~ArtOrDet~a
Despite the disadvantages it may pose , these can be offset with appropriate actions put in place .|||11~12~Prep~by
However , the use of RFID in tracking people has brought about many controversies .|||12~13~Nn~a lot of	13~14~Nn~controversy
However with the use of RFID to track people , this challenge may be overcome as hospitals used a " specially developed Hospital Movement Tracking System ( HTMS ) to trace the movements of Health care workers , patients and hospital visitors .|||17~18~Vt~use
In an event of an accident , rescue operators can locate workers who are RFID tagged and save them as soon as possible .|||1~2~ArtOrDet~the
Nevertheless , there has been data protection technology that is already in place to prevent unauthorized individuals from accessing .|||3~5~Vt~is
To a large extent , these have helped to ease the aging process through investing in healthcare for elderly , giving financial aids to the elderly and also enhancing the psychological well being of the elderly .|||18~18~ArtOrDet~the
( Government of Singapore , 10 February 2009 ) Healthcare professionals like nurses are also trained to be able to handle more complicated procedures as compared to the past ( The straits times , 17 August 2009 ) .This provide quality healthcare for elderly in a high standard of living environment .|||43~43~ArtOrDet~the
( James Brooke , 5 March 2004 ) Such technology will allow elderly to be self equipped to take care of themselves which is vital in current competitive society where their children will be overload with work to take care of them .|||12~12~ArtOrDet~the	34~35~Vform~overloaded
Secondly , the financial aids come up by the policies makers also manage to ease the aging process .|||7~8~Prep~with
Governments help to reduce the burden of the elderly by subsidizing healthcare , giving financial aid and also enforcing the people to save for retirement .|||19~20~ArtOrDet~
In Singapore , elderly are entitled to a subsidy of 75 per cent of the fees charged at polyclinics and even free medical service for frail or disabled elderly .|||3~3~ArtOrDet~the
( Government of Singapore , 10 February 2009 ) However , some may argue that the financial benefits may still be inadequate as elderly may need long term medical treatment and take longer time to recover .|||23~23~ArtOrDet~the
Also , elderly may abuse the medical services when it is provided through financial aid .|||2~2~ArtOrDet~the	12~13~Prep~with
( Government of Singapore , 10 February 2009 ) This will lighten the financial burden of the elderly easing the aging process as they can retire with more security and less worries .|||31~32~Nn~worry
There are policies like revising the retirement age from 65 to 67 in United States ( U.S. Social Security Administration , 1 April 2009 ) and also in Taiwan from 60 to 65 .|||13~13~ArtOrDet~the
For example , the baby bonus scheme in Singapore was ineffective as the birth rate remains at 1.28 .|||9~10~Vt~has been
The attractive financial incentives like getting cash gift of up to $ 4,000 each for the 1st and 2nd child and $ 6,000 each for having a 3rd and 4th child and also paid maternity leave of 4 months were not enough to make people wants to have more children .|||39~41~Vt~have not been	45~46~Vform~want
This can be due to lifestyle of Singaporeans like having long working hours and high standard of living , thus they prefer not to have any children .|||5~5~ArtOrDet~the
As long as government considers solution to these issues like encouraging working from home , the policy may be more effective .|||3~3~ArtOrDet~the	5~6~Nn~solutions
The government can now choose to allocate some money into healthcare , invest the remaining money and as time goes by , not only the government will be earning more profits but the healthcare will be getting bigger allocation .|||37~37~ArtOrDet~a
However , should the government decides to spend all of the 100 dollars into healthcare , there will be no profits and the government will also suffer a deficit .|||5~6~Vform~decide	13~14~Prep~on	27~27~Prep~from
Secondly , public spending on elderly healthcare should only be limited to elderly who really need it to prevent abuse by other citizens .|||12~12~ArtOrDet~the
If there are no limits implemented , the normal citizens could abuse the system by using it indiscriminately and denying the rights of healthcare to truly needy patients .|||10~11~Vt~can
This may in turn cause a clog up of cases where there will be more patients waiting longer for their operation reducing the quality of the healthcare sector ( Press Association , 2005 ) .|||6~7~Vform~clogging
Some might argue that it is the government 's duty to look after the welfare of its citizens , but if the government were to look after all of the elderly without the help of the children , it would certainly cost the government an enormous amount of time and money .|||28~29~Prep~
An example would be the Maintenance of Parents Act in Singapore , where parents could lawfully demand support from their child in court .|||20~21~Nn~children
In conclusion , there are many reasons on why and how public spending on elderly healthcare should be limited to allow government to channel the money to other areas of development .|||7~8~Prep~	21~22~Nn~governments
Ageing population is a serious problem faced by many developed state .|||10~11~Nn~states
The ageing population is creating many social problems such as health problems , high government expenses and high income taxis , which are stressing the young workers and the aged people .|||24~25~ArtOrDet~
Many states such as the US , the UK , Japan and Singapore start to implement various policies such as increasing child birth rate , saving plans for elderly and health care policies to ease the ageing process .|||28~28~ArtOrDet~the
However , most of these policies tend to be ineffective in easing the ageing process because they either have their limitation or fail to solve the social problems behind the ageing process .|||20~21~Nn~limitations
This essay is going to examine the limitation and the problem ignored by those current policies .|||7~8~Nn~limitations	10~11~Nn~problems
For example , the UK has tried to make the nation to become welfare state , but this leaves heavy tax burden to the working class and created low working incentive for the workers .|||27~28~Vt~creates
Similarly , Singapore has introduced same kind of policies call Medi-save and Medi-shield .|||5~5~ArtOrDet~the	9~10~Vform~called
However , these policies can not help those people who have long term disease because these diseases requires huge amount of money to cure .|||13~14~Nn~diseases	18~18~ArtOrDet~a
Ironically , the World Health Organization has released a report in year 2006 which showed that the number of people who have long term disease such as heart disease and cancer is increasing sharply .|||14~15~Vt~shows	24~25~Nn~diseases
The data has also showed that stressful working life is contributing to the poor health of the people .|||2~5~Vt~also shows	9~11~Vt~contributes
They will be having nothing to rely when they fall sick .|||2~4~Vt~have
Therefore , the health care policy in most developed countries should be improved to help those patients with long term disease and those who are neglected .|||20~21~Nn~diseases
Today , both two leading states such as Japan and Singapore in the area of slowing down the ageing population have implemented " Baby Bonus Policy " .|||2~3~ArtOrDet~
This is because the fact that many elderly couples only have one child to breed them and this always puts a heavy burden to the child .|||23~24~Prep~on
Thus , government fails to notice the two root of the evil .|||2~2~ArtOrDet~the
Therefore , baby bonus policy could not increase the birth rate effectively in easing ageing process .|||14~14~ArtOrDet~the
The modern society today is fulfilled with modern values that lead to the ageing population , thus caused the some government policies to become ineffective in easing the ageing process .|||17~18~Vform~causing	18~19~ArtOrDet~
Many states have introduced housing policies , which allow the young couples to live near their parents or giving priority in purchasing house to those people who have married .|||22~23~Nn~houses
This allows the couples to take care each other especially when they are old , or to take care their parents when they are still young .|||7~7~Prep~of	19~19~Prep~of
However , the states fail to realize that people 's value towards family is changing today .|||10~11~Nn~values
The family bonding in most western society is very weak and the young generation does not really have a sense of filial piety in their head .|||6~7~Nn~societies
It creates modern value that allows people of opposite sex to live together without having a family .|||2~2~ArtOrDet~a
If all these assumptions occurred , the housing policy therefore will not be relevant at all .|||4~5~Vt~occur
In conclusion , most of the current policies in easing ageing process have their limitation or ineffective .|||10~10~ArtOrDet~the	14~15~Nn~limitations
The fundamental problem is because the states fail to realize the social problems behind , which contributed to the stressful ageing process .|||16~17~Vt~contribute
Hence , in order to ease ageing process , the policies should be designed to solve the root of the evil rather than just focus on the surface of the problems .|||6~6~ArtOrDet~the	18~18~ArtOrDet~problems
A special report from Economist.com ( 2009 ) stated that average life expectancy for the whole world was only 30 years during the 1990s , and the rich countries under 50 .|||8~9~Vt~states
The next factor contributing to the aging phenomenon is the declining of birth rates as people tend to have lesser kids than the previous years .|||22~22~Prep~in
Despite these measures , the birth rate of Singapore has not increase significantly ( Mui Teng Yap , 2003 ) .|||11~12~Vform~increased
The " Stop at two " policy had been so successful that couples in Singapore saw that they can have a better standard of living with a smaller family .|||18~19~Vt~could
Singapore also scores 22nd in monocle 's list of top livable cities in 2008 and ranked top 5 in city infrastructure ( Mercer 's 2009 Quality of Living survey highlights 28 April 2009 ) Singapore change airport had accumulated 250 awards and is recognize as one of the best airport in the world .|||2~3~Vt~scored	37~38~Vt~has	43~44~Vform~recognized	49~50~Nn~airports
Money should be allocated on the ageing population .|||4~5~Prep~for
Singapore is currently a develop country .|||4~5~Vform~developed
Citizen is the most valuable asset of a country .|||0~2~Nn~Citizens are
In order to encourage elder dependency , the government introduces central provident fund in 1955 .|||9~10~Vt~introduced
It was a compulsory saving plan for the work force .|||1~2~Vt~is
Despite the introducing of the central provident fund , the aged population feels that it was insufficient for them to retire .|||15~16~Vt~is
In 2008 , the lifespan of Singaporeans has increase making the average life expectancy to become 80 compared with 61 in 1957 ( Mon , Apr 14 2008 News Straits Times ) .|||8~9~Vform~increased
For example incentives are given to company like MacDonald who employ retired workers .|||6~7~Nn~companies
The government had increased the housing grants from $ 30000 to $ 40000 ( HDB Website ) .|||2~3~Vt~has
Even though government encourages children to take care of their parents , there are still cases where parents sue their children for not taking care of them .|||2~2~ArtOrDet~the
Singapore government had passed the maintenance of parents act to make children responsible for their parents .|||2~3~Vt~has
In cases where the elder do not have any children or saving left , money is also needed to cater for their daily expenses , housing and medical expenses .|||11~12~Nn~savings
Eventually by 2050 , 35 percent of the population will reach the age of 60 years and above .|||10~11~Vt~have reached
Money is needed to spend on areas like , medical centre , new infrastructural and homes for the elderly .|||10~11~Nn~centres
More medical centre is needed to cater for the ageing population which requires more healthcare system .|||2~3~Nn~centres
For current buildings like shopping malls and HDB flat , the government and developers spent more moneys on building elderly friendly infrastructural .|||8~9~Nn~flats	14~15~Vt~should spend	16~17~Nn~money
Upgrading of existing HDB flats to make it more elderly friendly .|||1~2~Prep~
Examples lift upgrading , slopes for wheel chairs and old folk corner .|||11~12~Nn~corners
Despite the fact that ageing population is imposing more cost on government , the well being of them must still be taken care of .|||11~11~ArtOrDet~the
If not , when elections comes , the government might lost their votes as 35 percent of the population will reach the age of 60 and above by 2050 .|||10~11~Vform~lose
Over the last 50 years aging population was considered as a big problem that influenced western countries economic development .|||7~8~Vt~has been	9~10~Prep~	14~15~Vt~affects
However , during the next 50 years there will be a dramatic increase in aged and it is inevitable for Asian countries to face this challenge from now on .|||14~14~Vt~the
According to the survey done by United Nations , aging population in Asia is estimated to increase by 314 percent , from 207 million to 857 million in 2050 and among those sub regions East Asia will suffer most .|||6~6~ArtOrDet~the
Japan is still the country with largest amount of and most rapidly growing aging population .|||6~6~ArtOrDet~the	10~10~ArtOrDet~the
Moreover , the rate of birth kept falling down and family will have less adult children than they had in the past , which puts more burdens together with aging population to the government to deal with .|||6~6~Vt~has	10~10~ArtOrDet~a	31~32~Prep~on
So it has been a controversial issue that whether government shall cut public spending on the aged and divert to other areas of economic development to secure stable productivity and GDP .|||9~10~Nn~governments
